Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
92,N/A,Loyola Chicago,A10,23,9,+8.69,105.6,189,96.9,25,68.6,106,+.060,51,+2.62,118,107.4,127,104.8,119,-3.44,287
93,N/A,Indiana,B10,19,14,+8.68,109.7,106,101.0,82,68.4,116,+.138,5,+11.86,13,113.0,9,101.2,31,-0.66,218
94,N/A,Massachusetts,A10,20,11,+8.58,111.8,81,103.2,115,68.1,135,-.063,322,+0.72,144,106.4,165,105.7,156,-5.20,320
95,N/A,Louisiana Tech,CUSA,22,10,+8.32,108.7,132,100.4,65,65.7,278,-.072,330,-0.12,168,104.9,246,105.0,125,+3.96,87
96,N/A,George Mason,A10,20,12,+8.18,109.5,109,101.3,88,63.6,344,-.033,271,+2.47,122,107.8,115,105.3,138,-2.97,278
97,N/A,UCLA,P12,16,17,+7.71,107.2,156,99.5,49,63.0,352,-.028,259,+8.89,71,110.4,77,101.5,43,+0.76,170
98,13,Charleston,CAA,27,7,+7.61,113.7,58,106.1,176,69.8,59,+.050,64,-2.14,225,105.4,214,107.6,255,-0.14,203
99,N/A,Saint Joseph's,A10,21,13,+7.52,110.8,90,103.3,117,68.3,122,-.031,267,+2.25,124,107.1,138,104.9,123,-5.95,336
100,N/A,Rutgers,B10,15,17,+7.49,99.2,298,91.8,5,67.8,151,-.000,186,+11.52,18,112.8,13,101.2,34,-2.83,273
101,N/A,St. Bonaventure,A10,20,13,+7.45,111.6,83,104.2,133,65.5,290,-.019,236,+2.65,117,106.7,150,104.1,96,-4.10,301
102,N/A,Miami FL,ACC,15,17,+7.44,110.8,92,103.3,118,68.5,111,-.059,315,+9.20,64,110.9,59,101.7,55,-2.43,265
103,N/A,Cornell,Ivy,22,7,+7.12,113.1,68,106.0,173,71.3,26,+.037,93,+0.03,162,105.8,193,105.8,160,+0.31,191
104,13,Vermont,AE,28,6,+6.98,107.1,159,100.1,62,63.2,349,+.063,48,-2.65,244,104.3,261,107.0,215,+2.53,120
105,N/A,Stanford,P12,14,18,+6.42,110.4,98,103.9,129,69.5,69,-.052,300,+7.96,79,110.0,84,102.1,67,-1.66,251
